id,userid,type,score,year
582,21731956,3,80.37,2020
583,21948413,1,81,2021
584,21232671,8,7.0,2021
585,21731808,3,96.05,2021
586,21948121,22,70,2021
587,21948063,22,82,2022
588,21831041,22,80.5,2021
589,2200469020,22,80.5,2022
590,21732106,3,84,2021
591,20929984,2,90,2022
592,N21239758,3,82,2019
594,N21137806,3,82.68266,2021
595,21531011,8,8,2020
596,21731683,3,86,2022
597,21531116,1,92,2019
599,21831108,3,80,2022
600,21383513,8,6.00,2018
601,21631651,3,91.41,2021
602,21731808,8,7.5,2022
603,21831132,22,86.75,2021
604,20829358,6,170,2020
605,21731898,3,92,2021
606,N16117016,2,91.25,2021
608,2220469048,8,8.0,2023
610,2200469012,2,78.5,2023
612,2200469012,22,81,2022
614,21232743,3,85,2021
616,test_erdi,12,2,2020
618,test_erdi,12,2,2018
622,21332043,2,80,2023
624,21332043,4,87,2020
626,21332043,3,90,2020
628,21431342,2,81.25,2020
630,2220469116,22,69.5,2024
632,2200469030,22,80.25,2024
634,2200469820,3,90,2024
636,21947861,2,72,2024
638,21947804,3,90.4,2020
640,2200469015,3,87.5,2023
642,2200469015,22,77,2022
644,2200469006,22,78,2024
646,21732072,3,92.32,2023
648,2200469057,22,87.25,2024
650,2210469063,1,104,2024
652,2200469055,3,87,2023
654,2220469013,-3,100,2003
658,21947861,3,72,2024
