id,industry,industrytr
53204030,"Appliances, Tools & Housewares","Alet, Cihaz ve Ev Eşyaları"
53204040,"Home Furnishing",NULL
53205010,"Toys & Games",NULL
53205020,"Recreational Products",NULL
53301010,"Hotels, Motels & Cruiselines",Otelcilik
53301020,Restaurants,NULL
53301030,"Casinos & Gaming",NULL
53301040,"Leisure & Recreation",NULL
53302010,"Advertising & Marketing",NULL
53302020,Broadcasting,NULL
53302030,"Entertainment Production",NULL
53302040,Publishing,NULL
53302090,"Diversified Media",NULL
53402010,"Department Stores","Büyük Mağazacılık"
53402020,"Discount Stores",NULL
53403010,"Auto Vehicles, Parts & Service Retailers","Otomotiv Araç, Yedek Parça ve Hizmetleri"
53403020,"Home Improvement Products & Services Retailers",NULL
53403030,"Home Furnishings Retailers",NULL
53403040,"Apparel & Accessories Retailers",NULL
53403050,"Computer & Electronics Retailers",NULL
53403090,"Other Specialty Retailers",NULL
54101010,Brewers,NULL
54101020,"Distillers & Wineries",NULL
54101030,"Non-Alcoholic Beverages",NULL
54102010,"Fishing & Farming",NULL
54102020,"Food Processing","Gıda İşleme"
54102030,Tobacco,Tütün
54201010,"Household Products",NULL
54201020,"Personal Products","Kişisel Ürünler"
54201030,"Personal Services",NULL
54301010,"Drug Retailers",NULL
54301020,"Food Distribution & Convenience Stores",NULL
55101010,Banks,Bankacılık
55101030,"Consumer Financial Services",NULL
55101050,"Specialty Financials",NULL
55102010,"Investment Banking & Brokerage Services",NULL
55102020,"Investment Management & Fund Operators",NULL
55102030,"Diversified Investment Services",NULL
55102040,"Specialty Investment Services",NULL
55102050,"Financial & Commodity Market Operators",NULL
55103010,"Diversified Financial Services",NULL
55301010,"Multiline Insurance",NULL
55301020,"Property & Casualty Insurance",NULL
55301030,"Life & Health Insurance",NULL
55301050,Reinsurance,NULL
55301060,"Insurance Brokers",NULL
55402010,"Real Estate Development & Operations",NULL
55402020,"Real Estate Services",NULL
55403010,"Diversified REITs",NULL
55403020,"Commercial REITs",NULL
55403030,"Residential REITs",NULL
55501010,"Investment Trusts",NULL
56101010,"Advanced Medical Equipment",NULL
56101020,"Medical Equipment, Supplies & Distribution",NULL
56102010,"Healthcare Facilities & Services",NULL
56102020,"Managed Healthcare",NULL
56201010,"Diversified Pharmaceuticals",NULL
56201030,"Generic & Specialty Pharmaceuticals",NULL
56202010,"Biotechnology & Medical Research",NULL
57101010,Semiconductors,NULL
57101020,"Semiconductor Equipment & Testing",NULL
57102010,"Communications Equipment",NULL
57103010,"Computer Hardware",NULL
57103020,"Office Equipment",NULL
57201010,"IT Services & Consulting","Bilgi Teknolojileri ve Danışmanlık"
57201020,Software,Yazılım
58101020,"Telecommunication Services","Telekomünikasyon Hizmetleri"
59101010,"Electric Utilities","Elektrik Kurumları"
59102010,"Natural Gas Utilities",NULL
59103010,"Water & Other Utilities",NULL
59104010,"Multiline Utilities",NULL
60000001,Consulting,Danışmanlık
60000002,"Public Sector",Kamu
60000003,Energy,Enerji
60000004,Beverages,NULL
60000005,Education,Eğitim
60000006,Glass,NULL
60000007,"Non-profit Organization",NULL
60000008,Ceramics,NULL
60000009,Paint,NULL
60000010,Security,NULL
60000011,Certification,NULL
60000012,"Chemicals: Commodity, Agricultural, Specialty",NULL
60000013,"Retail Supermarket",NULL
