id,projectid,studentid
125,47,20930212
126,47,20930121
127,32,20930082
128,48,21030737
129,48,21030794
130,48,21030995
131,48,21031016
132,49,20929932
133,49,21101691
134,49,21030957
135,49,21001032
136,50,21030742
137,50,21279741
138,50,21130956
139,50,21030981
140,51,21030885
141,51,21031068
142,51,21031073
143,51,21031107
144,52,21030847
145,52,21030871
146,53,21130904
147,53,21030866
148,53,20929998
149,53,21031049
150,54,21030679
151,54,21130937
152,54,21030814
153,54,21131254
154,55,21130898
155,55,20930082
156,56,21131001
157,56,20930025
158,56,21279813
159,56,21031126
160,57,21030756
161,57,21030924
162,57,21030938
163,58,20929951
164,58,20930025
165,59,21030704
166,59,21030809
167,59,21030828
168,59,21030919
169,60,21130918
170,60,21030905
171,60,21030943
172,60,21131086
173,61,21030718
174,61,21031087
175,62,20829693
176,62,21031035
177,62,20929951
178,62,20901272
179,63,21279769
180,63,21030761
181,63,21030775
182,63,21030976
183,64,21130904
184,64,21030866
185,64,20929998
186,64,21031049
187,65,21030679
188,65,21030814
189,65,21131254
190,66,21030718
191,66,21031087
192,67,21030756
193,67,21030924
194,67,21030938
195,68,21030704
196,68,21030809
197,68,21030828
198,68,21030919
199,69,21130898
200,69,21131177
201,69,21031035
202,70,21131177
203,70,21031002
204,71,21232451
205,71,21131015
206,71,21131029
207,71,21131235
208,72,21130851
209,72,21131221
210,72,21131106
211,73,21232465
212,73,21131163
213,73,21131202
214,74,21131053
215,74,21131158
216,74,21232705
217,75,21130884
218,75,21131034
219,75,21131182
220,76,21171288
221,76,21130975
222,76,21131196
223,77,21232614
224,77,21232699
225,78,21130961
226,78,21232504
227,78,21131111
228,79,21383513
229,79,21131067
230,79,21131091
231,79,21131273
232,80,20930173
233,80,21131292
234,81,21131086
235,82,21171288
236,82,21130975
237,82,21131196
238,83,21131292
239,84,20930173
240,85,21031002
241,86,21232561
242,86,21232762
243,87,21232369
244,87,21232393
245,87,21232609
246,88,21232322
247,88,21232647
248,89,21481886
249,89,21232446
250,89,21481853
251,90,21383565
252,90,21332244
253,91,20930096
254,91,21232671
255,91,21482352
256,92,21232413
257,92,21232297
258,92,21232432
259,92,21232801
260,93,21232317
261,93,21232589
262,94,21131125
263,94,21131139
264,95,21232336
265,95,21232427
266,95,21232537
267,95,21332497
271,96,21232388
272,96,21332148
273,96,21232479
274,97,21031092
275,98,21232498
276,98,21232542
277,98,21232628
278,98,21232776
279,99,21232374
280,99,21332134
281,99,21232484
282,99,21232685
283,100,21691657
284,100,21693497
285,101,21232341
286,101,21232757
287,101,21232795
288,102,21232561
289,102,21232762
290,103,21232781
291,103,21232408
292,104,21031092
293,105,20930096
294,106,21232671
295,106,21482352
296,107,21232685
297,108,21332148
298,108,21232388
299,109,21332412
300,109,21332302
301,109,21332373
302,110,21332081
303,110,21430948
304,110,21332387
305,110,21403562
414,111,21131048
415,111,21332239
416,111,21485586
417,111,21332368
418,112,21332043
419,112,21332167
420,113,21332095
421,113,21232479
422,113,21332263
423,113,21332354
424,114,21430991
425,114,21580822
426,114,21431246
427,114,21401406
428,115,21332211
429,115,21332392
430,115,21232719
431,115,21332445
432,116,21580869
433,116,21401386
434,116,21401411
435,117,21332153
436,117,21332277
437,117,21332206
438,118,21332258
439,118,21332426
440,118,21332459
441,118,21332478
442,119,21332005
443,119,21332057
444,119,21332282
445,119,21332483
446,120,21331984
447,120,21332225
448,120,21607811
449,120,21332321
450,121,21130846
451,121,21430881
452,121,21332019
453,121,21131307
454,122,21691767
455,122,21693335
456,123,21332129
457,123,21332296
458,124,21331998
459,124,21332101
460,124,21332316
461,125,21693588
462,125,21693412
463,125,21693225
464,125,21692817
465,126,21232408
466,126,21131048
467,126,21232781
468,122,21131144
469,127,21332191
470,127,21332349
471,127,21332407
472,129,21232303
473,129,21232724
474,128,21332115
475,128,21430967
476,128,21332335
477,128,21332464
478,130,21401386
479,130,21401411
480,131,21332115
481,131,21430967
482,131,21332277
483,131,21332335
484,145,21431007
485,145,21430901
486,145,21332076
487,145,21431304
488,144,21693569
489,144,21693101
490,144,21607949
491,144,21607992
492,143,21431141
493,143,21380929
494,143,21430953
495,143,21430895
496,148,21693172
497,148,21692836
498,148,21693129
499,150,21431083
500,150,21430953
501,150,21380929
502,150,21580869
503,146,21431117
504,146,21430934
505,146,21531465
506,146,21430972
507,140,21531058
508,140,21431026
509,140,21531212
510,132,21431342
511,132,21531259
512,132,21431213
513,132,21332062
514,138,21431232
515,138,21431394
516,138,21430929
517,138,21431031
518,135,21431251
519,135,21607921
520,135,21431337
521,135,21693464
523,149,21693536
524,149,21692687
525,151,21332206
526,151,21332464
527,142,21431059
528,142,21232666
529,142,21431265
530,142,21431323
531,134,21332172
532,134,21431155
533,139,21201025
534,139,21431361
535,139,21587316
536,139,21431279
537,133,21232556
538,133,21280021
539,133,21232652
540,133,21332024
541,152,21232303
542,152,21232724
543,147,21691475
544,147,21232633
545,136,21431064
546,136,21431083
547,136,21531135
548,136,21505358
549,137,21483622
550,137,21430915
551,137,21531116
552,137,21431193
553,141,21531226
554,141,21431208
555,141,21431169
556,141,21431188
557,153,21332153
558,153,21232652
559,153,21232556
560,153,21280021
561,154,21692731
562,154,21692946
563,154,21587316
564,154,21693503
565,155,21692687
566,155,21693536
568,156,21431323
569,156,21232666
570,156,21431265
571,156,21431059
572,157,21691475
573,157,21232633
574,157,21232743
575,158,21332024
576,158,21531336
577,158,21431318
578,159,21685513
579,159,21531322
580,159,21531504
581,160,21531264
582,160,21531168
583,160,21531025
584,161,21601288
585,161,21403763
586,161,21601293
587,161,21584833
588,162,21531077
589,162,21531374
590,162,21531393
591,162,21784017
592,163,21431318
593,163,21531283
594,164,21631407
595,164,21531336
596,164,21531451
597,164,21685144
598,165,21631387
599,165,21631522
600,165,21785162
601,166,21531154
602,166,21531479
603,166,21531245
604,166,21531341
605,167,21531207
606,167,21531369
607,167,21431356
608,167,21531498
609,168,21631828
610,168,21631852
611,169,21431227
612,169,21693459
613,169,21431375
614,170,21531187
615,170,21784399
616,170,21631679
617,170,21606101
618,171,21531044
619,171,21531096
620,171,21531149
621,171,21232743
622,172,21531063
623,172,21531121
624,172,21531173
625,172,21430986
626,173,21530999
627,173,21531192
628,173,21531303
629,174,21692731
630,174,21692946
631,174,21693503
632,175,21531011
633,175,21590886
634,175,21531082
635,175,21531427
636,176,21531231
637,176,21531297
638,176,21631593
639,177,21531231
640,177,21531297
641,177,21631593
