id,username,type,graduation_date,cgpa,entryyear,entrytype,left_date
1551,N20138639,6,NULL,NULL,2020,NULL,NULL
1552,N20138913,6,NULL,NULL,2020,NULL,NULL
1553,N20139530,6,NULL,NULL,2020,NULL,NULL
1554,N19133931,4,NULL,NULL,2019,30,NULL
1555,N19230130,8,NULL,NULL,2019,NULL,NULL
1556,N19231523,8,NULL,NULL,2019,NULL,NULL
1557,N19232329,9,NULL,NULL,2021,NULL,NULL
1558,N19232767,8,NULL,NULL,2019,NULL,NULL
1559,N19233659,8,NULL,NULL,2019,NULL,NULL
1560,N19234461,8,NULL,NULL,2019,NULL,NULL
1561,N19234619,8,NULL,NULL,2019,NULL,NULL
1562,N19235909,8,NULL,NULL,2019,NULL,NULL
1563,N19235931,8,NULL,NULL,2019,NULL,NULL
1564,N19236200,8,NULL,NULL,2019,NULL,NULL
1565,N19237641,8,NULL,NULL,2019,NULL,NULL
1566,N19237654,8,NULL,NULL,2019,NULL,NULL
1567,N19237723,8,NULL,NULL,2019,NULL,NULL
1568,N19238006,8,NULL,NULL,2019,NULL,NULL
1569,N19239149,8,NULL,NULL,2019,NULL,NULL
1570,N20130811,9,NULL,NULL,2021,NULL,NULL
1571,N20131031,8,NULL,NULL,2020,NULL,NULL
1572,N20131107,9,NULL,NULL,2021,NULL,NULL
1573,N20131731,8,NULL,NULL,2020,NULL,NULL
1574,N20132199,8,NULL,NULL,2020,NULL,NULL
1575,N20132358,8,NULL,NULL,2020,NULL,NULL
1576,N20132867,8,NULL,NULL,2020,NULL,NULL
1577,N20132876,9,NULL,NULL,2021,NULL,NULL
1578,N20134732,8,NULL,NULL,2020,NULL,NULL
1579,N20135286,8,NULL,NULL,2020,NULL,NULL
1580,N20135645,8,NULL,NULL,2020,NULL,NULL
1581,N20135675,8,NULL,NULL,2020,NULL,NULL
1582,N20135891,8,NULL,NULL,2020,NULL,NULL
1583,N20136662,8,NULL,NULL,2020,NULL,NULL
1584,N20136928,8,NULL,NULL,2020,NULL,NULL
1585,N20137108,8,NULL,NULL,2020,NULL,NULL
1586,N20137125,9,NULL,NULL,2021,NULL,NULL
1587,N20137203,8,NULL,NULL,2020,NULL,NULL
1588,N20137412,9,NULL,NULL,2021,NULL,NULL
1589,N20138298,8,NULL,NULL,2020,NULL,NULL
1590,N20138679,8,NULL,NULL,2020,NULL,NULL
1591,N20138742,8,NULL,NULL,2020,NULL,NULL
1592,N20138797,8,NULL,NULL,2020,NULL,NULL
1593,N20230124,8,NULL,NULL,2021,NULL,NULL
1594,N20230210,8,NULL,NULL,2021,NULL,NULL
1595,N20230215,9,NULL,NULL,2021,NULL,NULL
1596,N20230808,9,NULL,NULL,2021,NULL,NULL
1597,N20231376,8,NULL,NULL,2021,NULL,NULL
1598,N20231575,8,NULL,NULL,2021,NULL,NULL
1599,N20231958,8,NULL,NULL,2021,NULL,NULL
1600,N20232099,8,NULL,NULL,2021,NULL,NULL
1601,N20232989,8,NULL,NULL,2021,NULL,NULL
1602,N20233556,9,NULL,NULL,2021,NULL,NULL
1603,N20234557,8,NULL,NULL,2021,NULL,NULL
1604,N20234669,8,NULL,NULL,2021,NULL,NULL
1605,N20234781,8,NULL,NULL,2021,NULL,NULL
1606,N20235096,8,NULL,NULL,2021,NULL,NULL
1607,N20235798,9,NULL,NULL,2021,NULL,NULL
1608,N20236568,9,NULL,NULL,2021,NULL,NULL
1609,N20236623,8,NULL,NULL,2021,NULL,NULL
1610,N20237788,8,NULL,NULL,2021,NULL,NULL
1611,N20238277,9,NULL,NULL,2021,NULL,NULL
1612,N20238507,8,NULL,NULL,2021,NULL,NULL
1613,N20239411,9,NULL,NULL,2021,NULL,NULL
1614,N20239749,8,NULL,NULL,2021,NULL,NULL
1615,N20239899,9,NULL,NULL,2021,NULL,NULL
1616,N20239970,9,NULL,NULL,2021,NULL,NULL
1617,N19230250,6,NULL,NULL,2019,NULL,NULL
1618,N19230710,6,NULL,NULL,2019,NULL,NULL
1619,N19231023,6,NULL,NULL,2019,NULL,NULL
1621,N19231217,6,NULL,NULL,2019,NULL,NULL
1622,N19231979,6,NULL,NULL,2019,NULL,NULL
1623,N19232403,6,NULL,NULL,2019,NULL,NULL
1624,N19232667,6,NULL,NULL,2019,NULL,NULL
1625,N19232844,6,NULL,NULL,2019,NULL,NULL
1626,N19232876,6,NULL,NULL,2019,NULL,NULL
1627,N19233459,6,NULL,NULL,2019,NULL,NULL
1628,N19234207,6,NULL,NULL,2019,NULL,NULL
1629,N19234411,6,NULL,NULL,2019,NULL,NULL
1630,N19234724,6,NULL,NULL,2019,NULL,NULL
1631,N19234938,6,NULL,NULL,2019,NULL,NULL
1632,N19234948,6,NULL,NULL,2019,NULL,NULL
1633,N19235096,6,NULL,NULL,2019,NULL,NULL
1634,N19235889,6,NULL,NULL,2019,NULL,NULL
1635,N19236140,6,NULL,NULL,2019,NULL,NULL
1636,N19236145,6,NULL,NULL,2019,NULL,NULL
1637,N19236564,6,NULL,NULL,2019,NULL,NULL
1638,N19236827,6,NULL,NULL,2019,NULL,NULL
1639,N19237593,6,NULL,NULL,2019,NULL,NULL
1640,N19237795,6,NULL,NULL,2019,NULL,NULL
1641,N19237978,6,NULL,NULL,2019,NULL,NULL
1642,N19238119,6,NULL,NULL,2019,NULL,NULL
1643,N19238238,6,NULL,NULL,2019,NULL,NULL
1644,N19238320,6,NULL,NULL,2019,NULL,NULL
1646,N19239803,6,NULL,NULL,2019,NULL,NULL
1647,N20130501,6,NULL,NULL,2020,NULL,NULL
1648,N20131234,6,NULL,NULL,2020,NULL,NULL
1649,N20131413,6,NULL,NULL,2020,NULL,NULL
1650,N20131809,6,NULL,NULL,2020,NULL,NULL
1651,N20131832,6,NULL,NULL,2020,NULL,NULL
1652,N20132883,6,NULL,NULL,2020,NULL,NULL
1653,N20133049,6,NULL,NULL,2020,NULL,NULL
1654,N20133313,6,NULL,NULL,2020,NULL,NULL
1655,N20133448,6,NULL,NULL,2020,NULL,NULL
1656,N20134528,6,NULL,NULL,2020,NULL,NULL
1657,N20134709,6,NULL,NULL,2020,NULL,NULL
1658,N20134763,6,NULL,NULL,2020,NULL,NULL
1659,N20134983,6,NULL,NULL,2020,NULL,NULL
1660,N20135563,6,NULL,NULL,2020,NULL,NULL
1661,N20135642,6,NULL,NULL,2020,NULL,NULL
1662,N20135663,6,NULL,NULL,2020,NULL,NULL
1663,N20136590,6,NULL,NULL,2020,NULL,NULL
1665,N20137009,6,NULL,NULL,2020,NULL,NULL
1666,N20137192,6,NULL,NULL,2020,NULL,NULL
1667,N20137709,6,NULL,NULL,2020,NULL,NULL
1668,N20137890,6,NULL,NULL,2020,NULL,NULL
1669,N20138087,6,NULL,NULL,2020,NULL,NULL
1670,N20138252,6,NULL,NULL,2020,NULL,NULL
1673,N20138639,6,NULL,NULL,2020,NULL,NULL
1674,N20138913,6,NULL,NULL,2020,NULL,NULL
1675,N20139530,6,NULL,NULL,2020,NULL,NULL
1678,N20231943,6,NULL,NULL,2021,NULL,NULL
1679,N20232316,6,NULL,NULL,2021,NULL,NULL
1681,N20232589,6,NULL,NULL,2021,NULL,NULL
1682,N20232665,6,NULL,NULL,2021,NULL,NULL
1683,N20232700,6,NULL,NULL,2021,NULL,NULL
1685,N20233685,6,NULL,NULL,2021,NULL,NULL
1686,N20234408,6,NULL,NULL,2021,NULL,NULL
1687,N20234609,6,NULL,NULL,2021,NULL,NULL
1688,N20234789,6,NULL,NULL,2021,NULL,NULL
1689,N20235206,6,NULL,NULL,2021,NULL,NULL
1690,N20235369,6,NULL,NULL,2021,NULL,NULL
1691,N20235747,6,NULL,NULL,2021,NULL,NULL
